A	0
Ac	227.027740
Ag	106.905090
Al	26.981539
Am	243.061371
Ar	39.962383
As	74.9215942
At	209.987137
Au	196.966507
B	11.0093055
Ba	137.905236
Be	9.012183
Bh	0
Bi	208.980388
Bk	247.070297
Br	78.9183376
C	12
Ca	39.962591
Cd	113.903358
Ce	139.905441
Cf	251.079575
Cl	34.96885271
Cm	247.070343
Co	58.9331976
Cr	51.940514
Cs	132.905441
Cu	62.9295989
Db	0
Ds	0
Dy	163.929199
Er	165.930298
Es	252.082977
Eu	152.921204
F	18.99840320
Fe	55.9349393
Fl	0
Fm	257.095093
Fr	209.996399
Ga	68.925583
Gd	157.924103
Ge	73.921181
H	1.0078250321
He	4.002606
Hf	179.946503
Hg	201.970596
Ho	164.930322
Hs	0
I	126.904468
In	114.903877
Ir	192.962906
K	38.9637074
Kr	83.911507
La	138.906342
Li	7.016004
Lr	262.109802
Lu	174.940796
Lv	0
Md	258.098419
Mg	23.9850423
Mn	54.938049
Mo	97.905411
Mt	0
N	14.0030740052
Na	22.989771
Nb	92.906403
Nd	141.907700
Ne	19.992439
Ni	57.935347
No	259.101044
Np	237.048172
O	15.9949146221
Os	191.961502
P	30.97376151
Pa	231.035904
Pb	207.976593
Pd	105.903481
Pm	144.912750
Po	208.982422
Pr	140.907593
Pt	194.964798
Pu	242.058746
R#	0
Ra	226.025406
Rb	84.911789
Re	186.955597
Rf	263.112549
Rg	0
Rh	102.905502
Rn	222.017563
Ru	101.903290
S	31.97207069
Sb	120.903824
Sc	44.955910
Se	79.9165196
Sg	0
Si	27.976927
Sm	151.919693
Sn	119.902199
Sr	87.905617
Ta	180.947998
Tb	158.925293
Tc	97.907219
Te	129.906219
Th	232.038055
Ti	47.947948
Tl	204.974396
Tm	168.934204
U	238.050781
Uuo	0
Uup	0
Uus	0
Uut	0
V	50.943962
W	183.950897
X	0
Xe	131.904160
Y	88.905846
Yb	173.938904
Zn	63.9291448
Zr	89.904701
*	0
D	0
OH	17.0027396542
